"","FPKM.liver.tablemaker"
"1940",0
"1941",0
"1942",15.9496
"1943",15.927
"1944",0
"1945",0
"1946",5.25483
"1947",5.23735e-06
"1948",0
"1949",9.49222
"1950",2.4312
"1951",9.6262
"1952",24.1353
"1953",1.85399
"1954",0
"1955",0
"1956",13.5637
"1957",2.19396
"1958",149.003
"1959",0
"1960",0
"1961",1.64394
"1962",0
"1963",4.58693
"1964",5.34136
"1965",0
"1966",0
"1967",2.00576
"1968",0
"1969",6.93449
"1970",2.31825
"1971",0
"1972",0
"1973",0
"1974",0
"1975",8.49754
"1976",0
"1977",6.38283
"1978",0
"1979",0
"1980",0
"1981",0
"1982",3.55089
"1983",0
"1984",0
"1985",3.67083
"1986",5.26952e-05
"1987",249.621
"1988",0
"1989",0
"1990",0
"1991",0
"1992",17.5798
"1993",9.16095e-05
"1994",0
"1995",0
"1996",5.2424
"1997",4.26667
"1998",0
"1999",0
"2000",1.70136
"2001",0
"2002",2.66733
"2003",0
"2004",0
"2005",0
"2006",0
"2007",12.7271
"2008",6.69908
"2009",2.05334e-06
"2010",0
"2011",2.70385
"2012",0
"2013",0
"2014",0
"2015",0
"2016",3.03086
"2017",0
"2018",20.903
"2019",0
"2020",0
"2021",0
"2022",0
"2023",1.66197
"2024",0
"2025",1.8856
"2026",34.3338
"2027",12.1048
"2028",3.30237
"2029",0
"2030",4.02533
"2031",0
"2032",286.698
"2033",3.01865
"2034",0
"2035",0
"2036",6.66934
"2037",0.793916
"2038",193.474
"2039",20.8616
"2040",2.07597
"2041",0
"2042",12.866
"2043",0
"2044",1.74415
"2045",0.000119173
"2046",4.83225
